酒店: 3806次
房间: 2789次
入住: 1056次
服务: 988次
前台: 933次
携程: 861次
服务员: 702次
早餐: 557次
客人: 556次
非常: 540次
宾馆: 538次
晚上: 508次
设施: 481次
价格: 409次
不好: 361次
退房: 305次
这家: 299次
空调: 286次
点评: 276次
电话: 274次
2008: 274次
卫生间: 268次
态度: 257次
第二天: 253次
建议: 240次
打电话: 240次
预定: 237次
装修: 235次
环境: 223次
隔音: 207次
下次: 204次
补充: 203次
很差: 200次
大堂: 198次
大家: 193次
朋友: 190次
时间: 185次
小时: 184次
陈旧: 181次
分钟: 181次
大床: 178次
干净: 174次
餐厅: 173次
标准: 170次
客房: 161次
早上: 158次
反馈: 156次
免费: 156次
推荐: 156次
声音: 155次
失望: 154次
小姐: 153次
位置: 152次
毛巾: 151次
味道: 150次
电梯: 150次
经理: 149次
告知: 149次
四星: 149次
服务态度: 143次
结帐: 143次
招待所: 143次
上网: 138次
星级: 130次
地毯: 130次
窗户: 130次
饭店: 129次
房价: 128次
最差: 128次
很小: 127次
投诉: 126次
预订: 123次
收费: 123次
豪华: 122次
便宜: 116次
硬件: 116次
客户: 115次
行李: 115次
宽带: 115次
总台: 114次
热水: 113次
洗澡: 111次
性价比: 109次
打扫: 107次
舒服: 106次
走廊: 105次
第一次: 105次
评价: 103次
一间: 103次
外面: 102次
四星级: 101次
电视: 101次
办法: 100次
床单: 99次
隔壁: 99次
商务: 99次
门口: 98次
三星: 96次
一股: 96次
太差: 96次
信用卡: 95次
2007: 95次
交通: 94次
满意: 94次
如家: 92次
房费: 91次
出租车: 91次
楼层: 90次
半天: 90次
半夜: 88次
极差: 86次
旁边: 86次
唯一: 86次
管理: 85次
吃饭: 85次
卫生: 84次
被子: 84次
员工: 83次
太小: 83次
浴室: 82次
标间: 81次
解释: 81次
感谢您: 79次
安排: 79次
机场: 76次
标准间: 75次
房间内: 75次
换房: 75次
取消: 74次
总体: 73次
洗手间: 72次
办理: 71次
霉味: 70次
服务生: 70次
效果: 70次
期间: 69次
中午: 68次
电脑: 68次
睡觉: 68次
火车站: 67次
网上: 67次
糟糕: 67次
品种: 66次
消费: 66次
大酒店: 65次
上海: 65次
还好: 65次
五星: 65次
设备: 65次
马桶: 64次
意见: 64次
休息: 63次
噪音: 63次
地理位置: 62次
刷卡: 62次
郁闷: 62次
接待: 61次
一晚: 61次
同事: 61次
房卡: 61次
马路: 60次
简陋: 60次
两天: 60次
登记: 60次
回答: 59次
当天: 59次
开门: 59次
不行: 59次
通知: 58次
司机: 58次
实际: 58次
差不多: 58次
顾客: 58次
锦江: 58次
出差: 57次
意识: 57次
离开: 57次
交涉: 57次
合作: 56次
质量: 56次
接受: 56次
淋浴: 56次
很脏: 56次
安静: 56次
厕所: 56次
旅馆: 56次
套房: 56次
水平: 55次
不值: 55次
一楼: 55次
发票: 54次
优点: 54次
携程网: 54次
浴缸: 53次
培训: 52次
保安: 52次
飞机: 52次
恶心: 52次
授权: 51次
手续: 51次
三星级: 51次
没法: 51次
打车: 50次
经历: 50次
押金: 50次
印象: 49次
异味: 49次
提前: 49次
凌晨: 49次
门童: 49次
简单: 49次
家具: 48次
明明: 48次
介绍: 48次
网站: 48次
住宿: 48次
距离: 47次
工作人员: 47次
蚊子: 47次
五星级: 47次
令人: 46次
暖气: 46次
询问: 46次
ctrip: 46次
素质: 45次
入睡: 45次
停车: 45次
对面: 45次
北京: 45次
酒店设施: 45次
中心: 45次
热情: 45次
面积: 45次
之星: 45次
住店: 45次
速度: 44次
垃圾: 44次
半小时: 44次
服务质量: 44次
会员: 44次
早晨: 43次
楼下: 43次
停车场: 43次
没想到: 43次
不爽: 43次
喜欢: 43次
电视机: 43次
结账: 43次
checkin: 42次
怀疑: 42次
理由: 42次
差劲: 42次
愉快: 42次
宝贵意见: 42次
提醒: 41次
价钱: 41次
空间: 41次
订单: 41次
拖鞋: 41次
温泉: 41次
地上: 40次
我订: 40次
再也不会: 40次
帮忙: 40次
床上: 40次
订房: 40次
气愤: 40次
缺点: 40次
值得: 40次
骚扰电话: 40次
房型: 40次
道歉: 40次
国际: 39次
号称: 39次
心情: 39次
恶劣: 39次
网线: 39次
不用: 38次
温度: 38次
内部: 38次
尊敬: 38次
光临: 38次
升级: 38次
回复: 38次
中央空调: 38次
奇怪: 38次
玻璃: 37次
可怜: 37次
住客: 37次
城市: 37次
窗外: 37次
行政: 37次
几次: 36次
旅游: 36次
同意: 36次
气味: 36次
半个: 36次
桌子: 36次
更换: 36次
银行: 35次
大厅: 35次
水果: 35次
不高: 35次
答复: 35次
要命: 35次
出门: 35次
太旧: 35次
衣服: 35次
超级: 35次
烟味: 35次
理论: 35次
房门: 35次
二楼: 34次
不怎么样: 34次
档次: 34次
浴巾: 34次
沟通: 34次
整体: 34次
差点: 34次
勉强: 34次
物品: 34次
早饭: 34次
老板: 34次
专业: 34次
市区: 34次
很近: 33次
后悔: 33次
水龙头: 33次
发霉: 33次
恐怖: 33次
信息: 33次
不敢恭维: 33次
蟑螂: 33次
经济: 33次
您好: 33次
真诚: 33次
第一天: 33次
改进: 33次
维修: 33次
查房: 32次
协议: 32次
留下: 32次
黑店: 32次
高级: 32次
公寓: 32次
强烈建议: 32次
麻烦: 32次
小心: 32次
明白: 32次
不便: 32次
费用: 32次
千万别: 32次
香港: 32次
自助: 31次
块钱: 31次
两次: 31次
连锁: 31次
好多: 30次
单人间: 30次
宾客: 30次
值班: 30次
再住: 30次
号楼: 30次
设计: 30次
受不了: 30次
致电: 30次
水准: 30次
收拾: 30次
施工: 30次
担保: 30次
地板: 29次
周围环境: 29次
无奈: 29次
周边: 29次
客服: 29次
期待: 29次
欺骗: 29次
折腾: 29次
注册: 29次
导航: 29次
索引: 29次
按摩: 29次
不符: 29次
现金: 28次
正常: 28次
想象: 28次
设置: 28次
理解: 28次
较差: 28次
标房: 28次
办事: 28次
靠近: 28次
好好: 28次
用品: 28次
部门: 28次
地段: 28次
拒绝: 28次
接到: 28次
网速: 28次
一次性: 28次
诚聘: 28次
英才: 28次
代理: 28次
楼道: 28次
适合: 28次
照片: 28次
漏水: 28次
身份证: 28次
特价: 28次
白天: 27次
对不起: 27次
小得: 27次
调整: 27次
冰箱: 27次
上当: 27次
保证: 27次
第二次: 27次
老旧: 27次
手机: 27次
广告业务: 27次
Copyright1999: 27次
边上: 27次
进门: 27次
偏僻: 27次
聊天: 26次
到位: 26次
一夜: 26次
吵醒: 26次
地点: 26次
商务酒店: 26次
不太好: 26次
开窗: 26次
答应: 26次
打算: 26次
没见: 26次
机会: 26次
临时: 26次
关系: 26次
颜色: 26次
挂牌: 26次
等待: 26次
深表歉意: 26次
下楼: 26次
优惠: 26次
稍微: 26次
礼貌: 25次
停电: 25次
仔细: 25次
孩子: 25次
墙壁: 25次
淋浴房: 25次
享受: 25次
像是: 25次
刚刚: 25次
一半: 25次
成都: 25次
几天: 25次
可怕: 25次
潮湿: 25次
赔偿: 25次
改造: 25次
空气: 25次
小孩: 25次
钥匙: 25次
清洁: 25次
奉劝: 24次
昏暗: 24次
楼上: 24次
真不知道: 24次
坚决: 24次
服务水平: 24次
不去: 24次
经济型: 24次
原本: 24次
洗澡水: 24次
系统: 24次
客房部: 24次
房子: 24次
难吃: 24次
太高: 24次
超过: 24次
开业: 24次
allrightsreserved: 24次
用餐: 24次
单间: 24次
优势: 24次
副理: 23次
随便: 23次
快捷酒店: 23次
KTV: 23次
游泳池: 23次
外观: 23次
龙头: 23次
不肯: 23次
灯光: 23次
事先: 23次
不理: 23次
特色: 23次
遥控器: 23次
抱歉: 23次
歉意: 23次
加收: 23次
莫泰: 23次
修理: 22次
负责: 22次
步行: 22次
符合: 22次
吵得: 22次
矿泉水: 22次
送来: 22次
此事: 22次
用户: 22次
破旧: 22次
自动: 22次
路上: 22次
下水: 22次
听说: 22次
地铁: 22次
敲门: 22次
忍受: 22次
名字: 22次
好吃: 22次
品牌: 22次
一早: 22次
舒适: 22次
差距: 21次
睡着: 21次
尚可: 21次
年代: 21次
开车: 21次
相差: 21次
生气: 21次
通风: 21次
一进: 21次
早餐券: 21次
窗帘: 21次
天津: 21次
十分钟: 21次
太低: 21次
修好: 21次
可惜: 21次
温馨: 21次
诚信: 21次
枕头: 21次
价位: 21次
检查: 21次
临街: 21次
改善: 20次
牌子: 20次
无烟: 20次
超市: 20次
那位: 20次
中国: 20次
结算: 20次
300: 20次
睡不着: 20次
支持: 20次
路边: 20次
嘈杂: 20次
加床: 20次
上次: 20次
海景房: 20次
承诺: 20次
保留: 20次
游客: 20次
领导: 20次
假日: 20次
出租: 20次
感冒: 20次
送餐: 20次
两张: 20次
鸡蛋: 20次
汉庭: 20次
信号: 20次
导致: 19次
房客: 19次
拿到: 19次
景点: 19次
吵闹: 19次
家庭: 19次
头发: 19次
床垫: 19次
区别: 19次
想想: 19次
坚持: 19次
火车: 19次
厨房: 19次
汽车: 19次
套间: 19次
算了: 19次
不合理: 19次
洗完: 19次
明天: 19次
二星: 19次
签单: 19次
重庆: 19次
签字: 19次
大门: 19次
室内: 19次
工地: 19次
程度: 19次
餐饮: 19次
下水道: 19次
错误: 19次
遭遇: 19次
房内: 19次
离店: 19次
一塌糊涂: 19次
解决问题: 19次
消费者: 19次
度假: 19次
两晚: 19次
怪味: 19次
总算: 19次
周边环境: 19次
电源: 19次
软件: 19次
评论: 19次
椅子: 19次
尊重: 19次
好不容易: 18次
180: 18次
一点点: 18次
洗浴: 18次
客观: 18次
天气: 18次
太吵: 18次
还给: 18次
冷淡: 18次
第三天: 18次
没人: 18次
不像: 18次
老化: 18次
控制: 18次
对此: 18次
走路: 18次
冷冰冰: 18次
行程: 18次
我定: 18次
客栈: 18次
正好: 18次
三次: 18次
500: 18次
转身: 18次
足足: 18次
态度恶劣: 18次
老外: 18次
查看: 18次
建筑: 18次
太贵: 18次
形容: 18次
没用: 18次
责任: 18次
协调: 18次
床头: 18次
供应: 18次
牛奶: 18次
168: 18次
新装修: 18次
其他人: 17次
整理: 17次
出行: 17次
动作: 17次
搞笑: 17次
饮料: 17次
换成: 17次
好点: 17次
信任: 17次
给予: 17次
欢迎您: 17次
人住: 17次
人来: 17次
是从: 17次
2006: 17次
调查: 17次
墙上: 17次
不停: 17次
协程: 17次
八点: 17次
营业: 17次
服务台: 17次
三天: 17次
领班: 17次
市中心: 17次
听见: 17次
女士: 17次
污渍: 17次
冷水: 17次
接机: 17次
要收: 17次
老鼠: 17次
凑合: 17次
这间: 17次
不远: 17次
集团: 16次
典型: 16次
离谱: 16次
最多: 16次
笑容: 16次
三楼: 16次
难闻: 16次
承认: 16次
师傅: 16次
缺乏: 16次
描述: 16次
150: 16次
晚餐: 16次
400: 16次
非常重视: 16次
不热: 16次
情愿: 16次
无比: 16次
下班: 16次
卫生条件: 16次
积分: 16次
配备: 16次
跟前: 16次
快捷: 16次
居住: 16次
注明: 16次
日晚: 16次
洗澡时: 16次
生意: 16次
重视: 16次
主楼: 16次
难受: 16次
排队: 16次
正规: 16次
出入: 16次
显示: 16次
咖啡: 16次
竞争力: 16次
开发票: 16次
插座: 16次
安装: 16次
半岛: 16次
关掉: 15次
会议: 15次
公里: 15次
景区: 15次
起床: 15次
出水: 15次
欢迎: 15次
最烂: 15次
发出: 15次
海景: 15次
打不开: 15次
地址: 15次
来回: 15次
黄色: 15次
白色: 15次
不通: 15次
有股: 15次
强烈要求: 15次
幸好: 15次
较大: 15次
沙发: 15次
说法: 15次
配套: 15次
容易: 15次
地下: 15次
过分: 15次
调换: 15次
食品: 15次
忽悠: 15次
政府: 15次
的士: 15次
打印: 15次
臭味: 15次
春节: 15次
写字台: 15次
浪费: 15次
两间: 15次
楼梯: 15次
度假村: 15次
杯子: 15次
支付: 15次
提示: 15次
地面: 15次
办手续: 15次
六点: 15次
开关: 15次
自助餐: 15次
夸张: 15次
显得: 15次
CTRIP: 15次
二十分钟: 15次
清理: 15次
会员卡: 15次
地铁站: 15次
双人房: 15次
当晚: 15次
太大: 14次
夜里: 14次
馒头: 14次
餐具: 14次
消毒: 14次
要死: 14次
OK: 14次
一共: 14次
遗憾: 14次
价格比: 14次
关门: 14次
查询: 14次
批评: 14次
游泳: 14次
水壶: 14次
狭小: 14次
搞错: 14次
清洗: 14次
长时间: 14次
便利: 14次
800: 14次
食物: 14次
墙纸: 14次
操作: 14次
很浓: 14次
早点: 14次
管理人员: 14次
调试: 14次
单位: 14次
晕倒: 14次
定单: 14次
关闭: 14次
班车: 14次
紧张: 14次
报销: 14次
商务中心: 14次
延迟: 14次
198: 14次
checkout: 14次
无人: 14次
中餐厅: 14次
表示歉意: 14次
三点: 14次
黑色: 14次
奇差: 14次
不让: 14次
点到: 14次
过程: 14次
别墅: 14次
优质: 14次
付费: 14次
国内: 14次
就让: 14次
门面: 14次
出示: 14次
餐券: 14次
公安部门: 14次
太远: 13次
大巴: 13次
洗漱: 13次
无所谓: 13次
第三: 13次
一瓶: 13次
赠送: 13次
不快: 13次
习惯: 13次
车子: 13次
理想: 13次
微笑: 13次
我住: 13次
国营: 13次
时说: 13次
第一个: 13次
办完: 13次
就餐: 13次
感觉不好: 13次
同行: 13次
付钱: 13次
外出: 13次
冷气: 13次
最让人: 13次
类似: 13次
饮用水: 13次
广州: 13次
中餐: 13次
长途: 13次
先说: 13次
只住: 13次
说实话: 13次
说好: 13次
清晰: 13次
体验: 13次
事实: 13次
愤怒: 13次
耽误: 13次
平方米: 13次
传真: 13次
塑料: 13次
种类: 13次
假日酒店: 13次
懒得: 13次
泳池: 13次
比较满意: 13次
大厦: 13次
试试: 13次
此类: 13次
分开: 13次
高层: 13次
旅客: 13次
携城: 13次
泰山: 13次
血迹: 13次
证件: 12次
吹风机: 12次
肮脏: 12次
幸亏: 12次
没房: 12次
花洒: 12次
报警: 12次
苏州: 12次
点前: 12次
难以忍受: 12次
洗个: 12次
完善: 12次
担心: 12次
阳台: 12次
特意: 12次
爱理不理: 12次
室外: 12次
不说: 12次
布局: 12次
一件: 12次
商量: 12次
一会儿: 12次
待遇: 12次
烧水: 12次
偏高: 12次
男服务员: 12次
团队: 12次
困难: 12次
很快: 12次
每人: 12次
拨打: 12次
制冷: 12次
男友: 12次
改变: 12次
状况: 12次
好久: 12次
睡个: 12次
不来: 12次
衣柜: 12次
几分钟: 12次
日本: 12次
女人: 12次
单据: 12次
服务费: 12次
合适: 12次
收取: 12次
海边: 12次
生硬: 12次
效率: 12次
监控: 12次
私人: 12次
单人床: 12次
最小: 12次
风格: 12次
差别: 12次
点钟: 12次
得知: 12次
整晚: 12次
钻石: 12次
定房: 12次
剩下: 12次
质问: 12次
核对: 12次
下雨: 12次
国外: 12次
规范: 12次
长春: 11次
淋浴间: 11次
过道: 11次
临近: 11次
诚挚: 11次
需求: 11次
太慢: 11次
购物: 11次
打死: 11次
停车费: 11次
表情: 11次
看过: 11次
房号: 11次
整改: 11次
床上用品: 11次
冬天: 11次
有待: 11次
拿走: 11次
看电视: 11次
繁华: 11次
付款: 11次
298: 11次
大街: 11次
深圳: 11次
吸引: 11次
脏兮兮: 11次
散客: 11次
旅店: 11次
江景: 11次
睡衣: 11次
拿来: 11次
谈不上: 11次
山上: 11次
谢谢您: 11次
洗不掉: 11次
太偏: 11次
手续费: 11次
西餐厅: 11次
两间房: 11次
怎么回事: 11次
叫车: 11次
进房: 11次
根本就是: 11次
走进: 11次
误导: 11次
满地: 11次
细节: 11次
前一天: 11次
齐全: 11次
两点: 11次
太晚: 11次
人理: 11次
骚扰: 11次
最可气: 11次
那间: 11次
四个: 11次
项目: 11次
抱怨: 11次
奥运: 11次
第三次: 11次
当日: 11次
莫名其妙: 11次
水温: 11次
令人气愤: 11次
山庄: 11次
透明: 11次
风景: 11次
一般般: 11次
表面: 11次
摆设: 11次
门锁: 11次
苍蝇: 11次
一大早: 11次
评分: 11次
水管: 11次
再来: 11次
箱子: 11次
太烂: 11次
广告: 11次
九点: 11次
牙刷: 11次
资料: 11次
好处: 11次
关上: 11次
导游: 11次
一分: 11次
体会: 11次
工程: 11次
美好: 11次
锅炉: 11次
桑拿: 11次
环保: 11次
床铺: 11次
冻结: 10次
价格便宜: 10次
整洁: 10次
声誉: 10次
汽车站: 10次
曲阜: 10次
黑乎乎: 10次
顺便: 10次
盘子: 10次
无法忍受: 10次
餐馆: 10次
间房: 10次
礼宾: 10次
态度生硬: 10次
帐单: 10次
总机: 10次
长期: 10次
个人感觉: 10次
顺利: 10次
台上: 10次
计较: 10次
作出: 10次
自带: 10次
稀饭: 10次
广场: 10次
利益: 10次
邯郸: 10次
上楼: 10次
咨询: 10次
过得去: 10次
景观: 10次
维护: 10次
每间: 10次
大失所望: 10次
胡同: 10次
眼睛: 10次
没洗: 10次
心理: 10次
反复: 10次
品质: 10次
装饰: 10次
充其量: 10次
机器: 10次
街边: 10次
太脏: 10次
医院: 10次
地图: 10次
混乱: 10次
承包: 10次
成功: 10次
数量: 10次
从没: 10次
一分钟: 10次
多年: 10次
要加: 10次
航班: 10次
所说: 10次
尝试: 10次
一个月: 10次
表扬: 10次
打招呼: 10次
柜子: 10次
可恶: 10次
教育: 10次
面包: 10次
酒吧: 10次
措施: 10次
服务业: 10次
关不上: 10次
三亚: 10次
饭菜: 10次
没睡: 10次
东东: 10次
实惠: 10次
不耐烦: 10次
一大: 10次
果盘: 10次
无表情: 10次
总共: 10次
回家: 10次
记得: 10次
差得: 10次
皇冠: 10次
喇叭: 10次
洗脸盆: 10次
浓重: 10次
证明: 10次
痛苦: 10次
不可思议: 10次
接电话: 10次
被褥: 10次
管道: 10次
太太: 10次
贵宾楼: 10次
办理手续: 10次
穿着: 10次
吓人: 10次
---: 10次
寄存: 10次
事后: 10次
床头柜: 10次
门卫: 10次
负责人: 10次
稳定: 10次
姓名: 10次
可气: 10次
做法: 10次
可笑: 10次
不开: 10次
还行: 10次
娱乐: 10次
洲际: 10次
单子: 10次
东楼: 10次
总经理: 9次
发觉: 9次
远远: 9次
贵宾: 9次
包子: 9次
损失: 9次
三人间: 9次
240: 9次
弹簧: 9次
无语: 9次
卡拉: 9次
比不上: 9次
窗子: 9次
开会: 9次
叫醒: 9次
客气: 9次
本店: 9次
马路上: 9次
诚恳: 9次
骗人: 9次
形象: 9次
污迹: 9次
热水器: 9次
害得: 9次
古城: 9次
门外: 9次
冷风: 9次
却说: 9次
上车: 9次
拖拉机: 9次
鄙视: 9次
发黄: 9次
不小: 9次
打个: 9次
不吃: 9次
自然: 9次
套餐: 9次
接送: 9次
人性化: 9次
损坏: 9次
月初: 9次
连续: 9次
亲切: 9次
内容: 9次
开心: 9次
夜间: 9次
赚钱: 9次
先到: 9次
不负责任: 9次
